name,serial,type,stage,temp,soc_max,dod,c_ch,c_dch,sampling,n_checkups,cap_initial,cap_final,retention_pct
TP_k09_03_s2,TP_k09_03,k,2,45,0.5,0.0,0.0,0.0,FF,4,4.8199,4.7097,97.71
TP_k10_01,TP_k10_01,k,1,45,0.8,0.0,0.0,0.0,FF,3,4.772,4.601,96.42
TP_k10_01_s2,TP_k10_01,k,2,45,0.8,0.0,0.0,0.0,FF,4,4.7552,4.5612,95.92
TP_k10_02,TP_k10_02,k,1,45,0.8,0.0,0.0,0.0,FF,3,4.7634,4.5724,95.99
TP_k10_02_s2,TP_k10_02,k,2,45,0.8,0.0,0.0,0.0,FF,4,4.7487,4.5629,96.09
TP_k10_03,TP_k10_03,k,1,45,0.8,0.0,0.0,0.0,FF,3,4.7497,4.5641,96.09
TP_k10_03_s2,TP_k10_03,k,2,45,0.8,0.0,0.0,0.0,FF,4,4.7808,4.597,96.16
TP_k11_01,TP_k11_01,k,1,45,1.0,0.0,0.0,0.0,FF,3,4.726,4.5626,96.54
TP_k11_01_s2,TP_k11_01,k,2,45,1.0,0.0,0.0,0.0,FF,4,4.7869,4.5602,95.26
TP_k11_02,TP_k11_02,k,1,45,1.0,0.0,0.0,0.0,FF,3,4.7983,4.6359,96.62
TP_k11_02_s2,TP_k11_02,k,2,45,1.0,0.0,0.0,0.0,FF,4,4.771,4.5444,95.25
TP_k11_03,TP_k11_03,k,1,45,1.0,0.0,0.0,0.0,FF,3,4.7991,4.6379,96.64
TP_k11_03_s2,TP_k11_03,k,2,45,1.0,0.0,0.0,0.0,FF,4,4.7671,4.5441,95.32
TP_z01_01,TP_z01_01,z,1,23,0.7,0.3,0.6,1.1,cLH,11,4.8364,4.405,91.08
TP_z01_01_s2,TP_z01_01,z,2,23,0.7,0.3,0.6,1.1,cLH,11,4.7661,4.4477,93.32
TP_z01_02,TP_z01_02,z,1,23,0.7,0.3,0.6,1.1,cLH,11,4.8351,4.4027,91.06
