serial_internal,serial,lab,type,tp,cell,amb_temp_tp,soc_max_tp,dod_tp,c_ch_tp,c_dch_tp,sampling,stage,m_0,scale,R_1khz_0,resistance_meter,U_0, volt_meter
TP_z18_01,TP_z18_01,HM,z,18,1,45,0.8,0.6,0.2,0.44,pi,2,68.91,KERN ABT 220-5DM,13.572,HIOKI 3554,3.575,HIOKI 3554
TP_z18_02,TP_z18_02,HM,z,18,2,45,0.8,0.6,0.2,0.44,pi,2,68.84,KERN ABT 220-5DM,14.004,HIOKI 3554,3.574,HIOKI 3554
TP_z18_03,TP_z18_03,HM,z,18,3,45,0.8,0.6,0.2,0.44,pi,2,68.78,KERN ABT 220-5DM,13.964,HIOKI 3554,3.575,HIOKI 3554
TP_z19_01,TP_z19_01,HM,z,19,1,45,0.8,0.6,0.24,2,pi,2,68.98,KERN ABT 220-5DM,12.946,HIOKI 3554,3.574,HIOKI 3554
TP_z19_02,TP_z19_02,HM,z,19,2,45,0.8,0.6,0.24,2,pi,2,69,KERN ABT 220-5DM,13.414,HIOKI 3554,3.574,HIOKI 3554
TP_z19_03,TP_z19_03,HM,z,19,3,45,0.8,0.6,0.24,2,pi,2,69.01,KERN ABT 220-5DM,12.934,HIOKI 3554,3.575,HIOKI 3554
TP_z20_01,TP_z20_01,HM,z,20,1,45,0.8,0.6,1,2,pi,2,68.88,KERN ABT 220-5DM,12.812,HIOKI 3554,3.575,HIOKI 3554
TP_z20_02,TP_z20_02,HM,z,20,2,45,0.8,0.6,1,2,pi,2,68.77,KERN ABT 220-5DM,13.978,HIOKI 3554,3.574,HIOKI 3554
TP_z20_03,TP_z20_03,HM,z,20,3,45,0.8,0.6,1,2,pi,2,68.91,KERN ABT 220-5DM,13.382,HIOKI 3554,3.574,HIOKI 3554
TP_z21_01,TP_z21_01,HM,z,21,1,45,0.8,0.6,0.2,0.44,pi,2,68.92,KERN ABT 220-5DM,12.644,HIOKI 3554,3.574,HIOKI 3554
TP_z21_02,TP_z21_02,HM,z,21,2,45,0.8,0.6,0.2,0.44,pi,2,68.96,KERN ABT 220-5DM,13.666,HIOKI 3554,3.574,HIOKI 3554
TP_z21_03,TP_z21_03,HM,z,21,3,45,0.8,0.6,0.2,0.44,pi,2,68.86,KERN ABT 220-5DM,12.672,HIOKI 3554,3.575,HIOKI 3554
TP_z22_01,TP_z22_01,HM,z,22,1,45,0.8,0.6,0.2,0.44,pi,2,68.92,KERN ABT 220-5DM,12.906,HIOKI 3554,3.575,HIOKI 3554
TP_z22_02,TP_z22_02,HM,z,22,2,45,0.8,0.6,0.2,0.44,pi,2,68.89,KERN ABT 220-5DM,13.344,HIOKI 3554,3.575,HIOKI 3554
TP_z22_03,TP_z22_03,HM,z,22,3,45,0.8,0.6,0.2,0.44,pi,2,69.03,KERN ABT 220-5DM,13.344,HIOKI 3554,3.574,HIOKI 3554
TP_z23_01,TP_z23_01,HM,z,23,1,45,0.8,0.6,1,2,pi,2,68.82,KERN ABT 220-5DM,13.356,HIOKI 3554,3.575,HIOKI 3554
TP_z23_02,TP_z23_02,HM,z,23,2,45,0.8,0.6,1,2,pi,2,68.99,KERN ABT 220-5DM,13.708,HIOKI 3554,3.575,HIOKI 3554
TP_z23_03,TP_z23_03,HM,z,23,3,45,0.8,0.6,1,2,pi,2,68.87,KERN ABT 220-5DM,12.448,HIOKI 3554,3.574,HIOKI 3554
TP_z24_01,TP_z24_01,HM,z,24,1,45,0.8,0.6,0.2,0.44,pi,2,68.71,KERN ABT 220-5DM,12.962,HIOKI 3554,3.576,HIOKI 3554
TP_z24_02,TP_z24_02,HM,z,24,2,45,0.8,0.6,0.2,0.44,pi,2,68.79,KERN ABT 220-5DM,14.42,HIOKI 3554,3.574,HIOKI 3554
TP_z24_03,TP_z24_03,HM,z,24,3,45,0.8,0.6,0.2,0.44,pi,2,68.69,KERN ABT 220-5DM,13.588,HIOKI 3554,3.576,HIOKI 3554
