pair,Target-only,Source-only,Naive,Fine-tune,Instance-wt,CORAL,TCA,best
23→35°C,0.0026997618017354764,0.0037783382403936646,0.002117369195978091,0.0034584414878478637,0.002494919312842359,0.002167298519940782,0.0025404817615230953,Naive
23→45°C,0.0019123434814106591,0.006182217855099597,0.002900113333841837,0.003574111754994852,0.0027669000464776595,0.0025790663354099777,0.004904538476653863,Target-only
35→23°C,0.010732681866793988,0.011016888561479123,0.006007267003584563,0.013298185185877163,0.0059175258033702,0.006294257247805686,0.005887828571970876,TCA
35→45°C,0.0019123434814106591,0.006240785360928224,0.003045078950219553,0.007057324839575452,0.00269746593608919,0.0025937390858646555,0.004757004945389155,Target-only
45→23°C,0.010732681866793988,0.012901163939497945,0.006373890208353163,0.009656076331873972,0.006152110268496145,0.005873735061168839,0.005513106203261855,TCA
45→35°C,0.0026997618017354764,0.005504771857183141,0.0021161819954171168,0.003912663490530401,0.0020619329012459145,0.0018585319162997538,0.0027094736775747246,CORAL
