pair,Target-only,Source-only,Naive,Instance-wt,best
23→35°C,0.0026997618017354764,0.0037783382403936646,0.002117369195978091,0.002494919312842359,Naive
23→45°C,0.0019123434814106591,0.006182217855099597,0.002900113333841837,0.0027669000464776595,Target-only
35→23°C,0.010732681866793988,0.011016888561479123,0.006007267003584563,0.0059175258033702,Instance-wt
35→45°C,0.0019123434814106591,0.006240785360928224,0.003045078950219553,0.00269746593608919,Target-only
45→23°C,0.010732681866793988,0.012901163939497945,0.006373890208353163,0.006152110268496145,Instance-wt
45→35°C,0.0026997618017354764,0.005504771857183141,0.0021161819954171168,0.0020619329012459145,Instance-wt
S1→S2,0.0033814678320823353,0.004005284460837801,0.0025641679344056037,,Naive
S2→S1,0.009661160490452927,0.006626028558928978,0.004618010081644689,,Naive
