pair,Target-only,Source-only,Naive,Fine-tune,Instance-wt,CORAL,TCA,best
23→35°C,0.001987865444930071,0.0039275673859329235,0.002014172080827726,0.003631524365955104,0.002557431936077974,0.002070677776706193,0.0028518817859029197,Target-only
23→45°C,0.002345378843266396,0.006136065919741371,0.00295806589262527,0.0036462982884038564,0.0027013659142040534,0.0025746732721015973,0.004937001170327135,Target-only
35→23°C,0.007193986228057092,0.010818460074441878,0.006166962341194655,0.013338928888233487,0.005854959348586283,0.006130007609367096,0.007145644177893067,Instance-wt
35→45°C,0.002345378843266396,0.006495789966542381,0.002898936418443096,0.007278971743616145,0.002783347083364826,0.0026241574183170037,0.003337540938024238,Target-only
45→23°C,0.007193986228057092,0.013345572902381126,0.005978564199718193,0.009694903594132004,0.005622057638415891,0.0059250963257781565,0.005086533886211168,TCA
45→35°C,0.001987865444930071,0.006159918620557298,0.0021985966346577293,0.0040206619782449105,0.0021719909164517486,0.0018725238965885027,0.002386169612947795,CORAL
