pair,tgt_mae,p_Naive,mae_Naive,p_Instance-wt,mae_Instance-wt,p_CORAL,mae_CORAL,p_TCA,mae_TCA
23→35°C,0.001987865444930071,0.5267514900909074,0.002014172080827726,0.7399053628732605,0.002557431936077974,0.5209865328930783,0.002070677776706193,0.0019163826687327357,0.0028518817859029197
23→45°C,0.002345378843266396,0.017716664287365864,0.00295806589262527,0.4421163856032494,0.0027013659142040534,0.7146895407730142,0.0025746732721015973,0.0002473138964155828,0.004937001170327135
35→23°C,0.007193986228057092,0.4608543039066717,0.006166962341194655,0.019122868834529072,0.005854959348586283,0.9677533526555635,0.006130007609367096,0.954866194690112,0.007145644177893067
35→45°C,0.002345378843266396,0.026316326686254752,0.002898936418443096,0.33431091331572893,0.002783347083364826,0.14625502974596247,0.0026241574183170037,0.10093102240346627,0.003337540938024238
45→23°C,0.007193986228057092,0.691783364105504,0.005978564199718193,0.4412905510398559,0.005622057638415891,0.30233095708535984,0.0059250963257781565,0.5875575871323235,0.005086533886211168
45→35°C,0.001987865444930071,0.09873028456034512,0.0021985966346577293,0.25529579578327,0.0021719909164517486,0.9611661815621755,0.0018725238965885027,0.07023527237193788,0.002386169612947795
