pair,tgt_mae,naive_mae,iw_mae,p_naive,p_iw,naive_sig,iw_sig
23→35°C,0.0026997618017354764,0.002117369195978091,0.002494919312842359,0.04786186048110438,0.05093409696719858,✅,—
23→45°C,0.0019123434814106591,0.002900113333841837,0.0027669000464776595,0.1625198806974485,0.5674700263526014,—,—
35→23°C,0.010732681866793988,0.006007267003584563,0.0059175258033702,0.0004769793013110757,7.098051719367504e-05,✅,✅
35→45°C,0.0019123434814106591,0.003045078950219553,0.00269746593608919,0.05234231324293178,0.47622734131151545,—,—
45→23°C,0.010732681866793988,0.006373890208353163,0.006152110268496145,0.0011733303545042872,0.0003057453432120383,✅,✅
45→35°C,0.0026997618017354764,0.0021161819954171168,0.0020619329012459145,0.011488950396819323,0.013682410497671289,✅,✅
