src,tgt,model,mae,rmse,r2,n_train,n_test
Stage 1,Stage 1,Ridge,0.006379470709750236,0.01047055571527333,0.811333352679146,68,68
Stage 1,Stage 1,GBR,0.0002461017604420837,0.0003372172766821937,0.999804306995388,68,68
Stage 1,Stage 2,Ridge,0.006677357014062558,0.008775895265291635,0.5440588409579536,68,71
Stage 1,Stage 2,GBR,0.004005284460837801,0.005416155451600385,0.8263366488545005,68,71
Stage 2,Stage 1,Ridge,0.00539015742259152,0.014427452632977091,0.6417922464701398,71,68
Stage 2,Stage 1,GBR,0.006626028558928978,0.016806991333446878,0.5138888081686788,71,68
Stage 2,Stage 2,Ridge,0.0028481431457806302,0.0037463123676775814,0.9169128412940798,71,71
Stage 2,Stage 2,GBR,0.0001676238543743789,0.00020379091104865668,0.9997541356521267,71,71
